"spkid","name","neo"
20190161,,Y
20190166,,Y
20190208,,Y
20190491,,Y
20190758,,Y
20190788,,Y
20191094,,Y
20192559,,Y
20192563,,Y
20192642,,Y
20193178,,Y
20194006,,Y
20194126,,Y
20194268,,Y
20194386,,Y
20196068,,Y
20196256,,Y
20196625,,Y
20197588,,Y
20198752,,Y
20198856,,Y
20199003,,Y
20199145,,Y
20199801,,Y
20200754,,Y
20200840,,Y
20202411,,Y
20202435,,Y
20202683,,Y
20203015,,Y
20203217,,Y
20203471,,Y
20204131,,Y
20204232,,Y
20205378,,Y
20205388,,Y
20205744,,Y
20206359,,Y
20206378,,Y
20206910,,Y
20207398,,Y
20207945,,Y
20207970,,Y
20208023,,Y
20208115,,Y
20208565,,Y
20208617,,Y
20209215,,Y
20209924,,Y
20210012,,Y
20211871,,Y
20211914,,Y
20212359,,Y
20212546,,Y
20213053,,Y
20213869,,Y
20214088,,Y
20214869,,Y
20215167,,Y
20215188,,Y
20215442,,Y
20215588,,Y
20215757,,Y
20216115,,Y
20216258,,Y
20216523,,Y
20216689,,Y
20216707,,Y
20216985,,Y
20217013,,Y
20217390,,Y
20217430,,Y
20217628,Lugh,Y
20217796,,Y
20217807,,Y
20217837,,Y
20218017,,Y
20218863,,Y
20219021,,Y
20219071,,Y
20219527,,Y
20220124,,Y
20220839,,Y
20220909,,Y
20221455,,Y
20221787,,Y
20221980,,Y
20222008,,Y
20222073,,Y
20222165,,Y
20222869,,Y
20223456,,Y
20224926,,Y
20225312,,Y
20225416,,Y
20225586,,Y
20225900,,Y
20226198,,Y
20226219,,Y
20226514,,Y
20226554,,Y
20228368,,Y
20228502,,Y
20228587,,Y
20229007,,Y
20229672,,Y
20230089,,Y
20230111,,Y
20230118,,Y
20230420,,Y
20230549,,Y
20230599,,Y
20230979,,Y
20231134,,Y
20231792,,Y
20231937,,Y
20232368,,Y
20232382,,Y
20232691,,Y
20234061,,Y
20234145,,Y
20234341,,Y
20235086,,Y
20235700,,Y
20235756,,Y
20236716,,Y
20237442,,Y
20237551,,Y
20237805,,Y
20238063,,Y
20238456,,Y
20239849,,Y
20240320,,Y
20241370,,Y
20241596,,Y
20241662,,Y
20242147,,Y
20242187,,Y
20242191,,Y
20242211,,Y
20242216,,Y
20242450,,Y
20242643,,Y
20242708,,Y
20243025,,Y
20243147,,Y
20243298,,Y
20243566,,Y
20244670,,Y
20244977,,Y
20246138,,Y
20247156,,Y
20247360,,Y
20247517,,Y
20248083,,Y
20248590,,Y
20248818,,Y
20248926,,Y
20249595,,Y
20249615,,Y
20249816,,Y
20249886,,Y
20250162,,Y
20250458,,Y
20250577,,Y
20250614,,Y
20250620,,Y
20250680,,Y
20250697,,Y
20250706,,Y
20251346,,Y
20251722,,Y
20251732,,Y
20252091,,Y
20252373,,Y
20252399,,Y
20252558,,Y
20252793,,Y
20253062,,Y
20253106,,Y
20253586,,Y
20253841,,Y
20254417,,Y
20254419,,Y
20255071,,Y
20255501,,Y
20256004,,Y
20256412,,Y
20256670,,Y
20257744,,Y
20257838,,Y
20258325,,Y
20259221,,Y
20259802,,Y
20260141,,Y
20260277,,Y
20261938,,Y
20262623,,Y
20263976,,Y
20264308,,Y
20264357,,Y
20264993,,Y
20265032,,Y
20265187,,Y
20265196,,Y
20265482,,Y
20265661,,Y
20265962,,Y
20267131,,Y
20267136,,Y
20267221,,Y
20267223,,Y
20267270,,Y
20267337,,Y
20267494,,Y
20267720,,Y
20267729,,Y
20267759,,Y
20267940,,Y
20269690,,Y
20271480,,Y
20274138,,Y
20274855,,Y
20275545,,Y
20275558,,Y
20275611,,Y
20275677,,Y
20275714,,Y
20275792,,Y
20275974,,Y
20275975,,Y
20275976,,Y
20276033,,Y
20276049,,Y
20276111,,Y
20276392,,Y
20276397,,Y
20276409,,Y
20276468,,Y
20276660,,Y
20276703,,Y
20276732,,Y
20276770,,Y
20276786,,Y
20276891,,Y
20277039,,Y
20277127,,Y
20277142,,Y
20277279,,Y
20277473,,Y
20277475,,Y
20277570,,Y
20277616,,Y
20277617,,Y
20277810,,Y
20277830,,Y
20277958,,Y
20278327,,Y
20278381,,Y
20279744,,Y
20279816,,Y
20280136,,Y
20280244,Ati,Y
20280491,,Y
20281070,,Y
20281365,,Y
20281375,,Y
20283457,,Y
20283460,,Y
20283729,,Y
20284114,,Y
20284422,,Y
20285110,,Y
20285179,,Y
20285263,,Y
20285331,,Y
20285339,,Y
20285540,,Y
20285567,,Y
20285571,,Y
20285625,,Y
20285638,,Y
20285818,,Y
20285838,,Y
20285944,,Y
20285990,,Y
20286079,,Y
20286080,,Y
20288592,,Y
20288807,,Y
20288914,,Y
20289227,,Y
20289315,,Y
20290772,,Y
20292165,,Y
20292220,,Y
20293054,,Y
20293726,,Y
20294739,,Y
20296318,,Y
20297274,,Y
20297300,,Y
20297418,,Y
20299582,,Y
20301011,,Y
20301844,,Y
20302010,,Y
20302156,,Y
20302169,,Y
20302311,,Y
20302523,,Y
20302591,,Y
20302800,,Y
20302830,,Y
20302831,,Y
20302871,,Y
20303174,,Y
20303248,,Y
20303250,,Y
20303262,,Y
20303449,,Y
20303450,,Y
20303933,,Y
20304088,,Y
20304153,,Y
20304293,,Y
20304330,,Y
20304640,,Y
20305090,,Y
20306367,Nut,Y
20306383,,Y
20306431,,Y
20306462,,Y
20306523,,Y
20306595,,Y
20307005,,Y
20307070,,Y
20307161,,Y
20307493,,Y
20307564,,Y
20307918,,Y
20308041,,Y
20308043,,Y
20308127,,Y
20308242,,Y
20308635,,Y
20308899,,Y
20309203,,Y
20309214,,Y
20309662,,Y
20309728,,Y
20310402,,Y
20310442,,Y
20310560,,Y
20310737,,Y
20310842,,Y
20311044,,Y
20311066,,Y
20311321,,Y
20311554,,Y
20311555,,Y
20311925,,Y
20312070,,Y
20312473,,Y
20312942,,Y
20312956,,Y
20313276,,Y
20313538,,Y
20313548,,Y
20313552,,Y
20313809,,Y
20314079,,Y
20314082,Dryope,Y
20314212,,Y
20315020,,Y
20315098,,Y
20315508,,Y
20316695,,Y
20317212,,Y
20317255,,Y
20317643,,Y
20317685,,Y
20318050,,Y
20318160,,Y
20318411,,Y
20318450,,Y
20319988,,Y
20320378,,Y
20322652,,Y
20322705,,Y
20322756,,Y
20322763,,Y
20322775,,Y
20322913,,Y
20322966,,Y
20323179,,Y
20323300,,Y
20325102,,Y
20325395,,Y
20325769,,Y
20326290,Akhenaten,Y
20326291,,Y
20326302,,Y
20326332,,Y
20326354,,Y
20326386,,Y
20326388,,Y
20326683,,Y
20326732,,Y
20326742,,Y
20326777,,Y
20326946,,Y
20327140,,Y
20328059,,Y
20329275,,Y
20329291,,Y
20329338,,Y
20329340,,Y
20329343,,Y
20329390,,Y
20329395,,Y
20329437,,Y
20329520,,Y
20329571,,Y
20329614,,Y
20329669,,Y
20329713,,Y
20329770,,Y
20329774,,Y
20329915,,Y
20330233,,Y
20330659,,Y
20330809,,Y
20330825,,Y
20331471,,Y
20331509,,Y
20331510,,Y
20331769,,Y
20331792,,Y
20331876,,Y
20331963,,Y
20331990,,Y
20331999,,Y
20332408,,Y
20332446,,Y
20332775,,Y
20333284,,Y
20333311,,Y
20333358,,Y
20333478,,Y
20333480,,Y
20333510,,Y
20333521,,Y
20333555,,Y
20333578,,Y
20333707,,Y
20333755,,Y
20333888,,Y
20333889,,Y
20333908,,Y
20334412,,Y
20334673,,Y
20335746,,Y
20335758,,Y
20337053,,Y
20337069,,Y
20337075,,Y
20337084,,Y
20337118,,Y
